citation,doi,pmid,ref_id,ref_number,source_location,source_review,table_lead,table_outcome,table_row,title,year
"Gehricke, J.-G., Lowery, L. A., Alejo, S. D., Dawson, M., Chan, J., Parker, R. A., Archibald, A., Lo, A., Benavidez, H., Saini, T., Kuhlthau, K., Trujillo, Y., Grigaux, O., Cadondon, S., Baconawa, M., Bellesheim, K., Sweeney, M., Haddad, F., & Radom-Aizik, S. (2022). The effects of a physical exercise program, LEGOR and Minecraft activities on anxiety in underserved children with autism spectrum disorder. Research in Autism Spectrum Disorders,97, 102005. 10.1016/j.rasd.2022.102005",10.1016/j.rasd.2022.102005,,CR11,11,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Gehricke et al. (2022),"Both the physical activity and sedentary activity groups had significant improvements in anxiety at weeks 3, 6, and 8 as rated by the CBCL DSM-5 anxiety subscale, with larger improvements in the exercise intervention group (p < 0.001). The SCARED measure reported significant improvements for both groups at 8 weeks (p < 0.001), with larger improvement in the sedentary group. The CSHQ results concluded sleep quality was significantly improved for the physical activity group a week 8 (p = 0.003). The PAQ-C results showed a significant increase in the physical activity group at week 8 compared to the sedentary group (p = 0.003). There were no significant acute or chronic changes to salivary cortisol for both groups","Gehricke et al. (2022) | Level IIn = 53—physical activity groupn = 64—sedentary activity groupInclusion criteria: participants were between the ages of 6 and 12, ASD diagnosis, ability to participate in moderate exercise, ability to follow basic directions, and anxiety defined as the more than the 93rd percentile on the CBCL or a total score more than 25 on the SCAREDExclusion criteria: behaviors that prevented participation in group activities, any medicalcondition that would be adversely affected by moderate exercise, sensory impairments that could affect participation, and children who were actively participating in other community-based exercise programs or were planning to do so | Physical Activity group: 8 weeks—3 physical activity sessions a week for 40–50 minThe physical activity program included 10 min of warm-up,10 min of moderate intensity aerobic exercises at 65–85% of maximum heart rate, then 5 min of bone and muscle strength activities using body weight only, then 5 min of moderate intensity aerobic exercise combined with muscle strength activities, and lastly, they completed 5 min of cool down activitiesSedentary Activity Group: 8 weeks—3 Lego or Minecraft sessions a week for 45 min—participants got to decide if they would prefer to play with Legos or play MinecraftLego sessions: first, a 5-min introduction to trained study staff and LEGO rules and planning which role the participant will begin with. After the roles were assigned, engineer would give descriptions of the pieces needed and directions on how to assemble the model, and the builder would follow the directions, collect the pieces, and put the pieces together. The roles then switched after 15 min, and they played in the other role for the next 15 min. After the participant had a chance to play in both roles, they spent 15 min cleaningMinecraft: first, a 5-min introduction to trained study staff and Minecraft rules for the participant, as well as planning participant’s goals for the session. Next, participants participated in 20 min of group play in daytime mode through the game. Then, they played 15 min of survival play in night mode. Finally, the last 5 min were used to discuss how the participant felt about the intervention | The CBCL DSM-5 anxiety subscale, the SCARED—self-reported, the parent-rated CSHQ, the PAQ-C, and salivary cortisol were collected at baseline, week 3, week 6, week 8, week 12 as a follow up, and week 16 as a second follow up | Both the physical activity and sedentary activity groups had significant improvements in anxiety at weeks 3, 6, and 8 as rated by the CBCL DSM-5 anxiety subscale, with larger improvements in the exercise intervention group (p < 0.001). The SCARED measure reported significant improvements for both groups at 8 weeks (p < 0.001), with larger improvement in the sedentary group. The CSHQ results concluded sleep quality was significantly improved for the physical activity group a week 8 (p = 0.003). The PAQ-C results showed a significant increase in the physical activity group at week 8 compared to the sedentary group (p = 0.003). There were no significant acute or chronic changes to salivary cortisol for both groups",,2022
"Hillier, A., Murphy, D., & Ferrara, C. (2011). A pilot study: Short-term reduction in salivary cortisol following low level physical exercise and relaxation among adolescents and young adults on the autism spectrum. Stress and Health,27(5), 395–402. 10.1002/smi.1391",10.1002/smi.1391,,CR15,15,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Hillier et al. (2011),"There was a significant difference in salivary cortisol before and after each individual training session (p = 0.001), but not across the 3 weeks (p = 0.575)There was a significant difference in anxiety measured by the self-reported STAI before and after each individual training session (p = 0.002), but not across the 8 weeks (p = 0.365)","Hillier et al. (2011) | Level IIIn = 18Inclusion criteria: ages 13–27, diagnosis of ASD, considered to be “high-functioning” the authors define this as: not having significant communication impairments, the ability to follow multi-step instructions, and participants could not exhibit behavioral challenges like physical or verbal aggression, and a note from a physician that said they are able to participate in a physical activity program | Intervention: all participants completed an 8-week low level physical activity program. This program included 5 min of warm-up activities, 10 min of aerobics, 10 min of flexibility exercises, 10 min balance activities, 10 min of strengthening activities, 5 min of team activities, and 10 min of cool down activities. These sessions occurred once a week for 75 min | Salivary cortisol levels were measured through saliva samples gathered at the beginning and end of 3 sessions, weeks 2, 4, and 6Participants self-reported anxiety levels before and after each physical activity session using STAI | There was a significant difference in salivary cortisol before and after each individual training session (p = 0.001), but not across the 3 weeks (p = 0.575)There was a significant difference in anxiety measured by the self-reported STAI before and after each individual training session (p = 0.002), but not across the 8 weeks (p = 0.365)",,2011
"Howells, K., Sivaratnam, C., Lindor, E., Hyde, C., McGillivray, J., Whitehouse, A., & Rinehart, N. (2020). Can participation in a community organized football program improve social, behavioural functioning and communication in children with autism spectrum disorder? A pilot study. Journal of Autism and Developmental Disorders,50(10), 3714–3727. 10.1007/s10803-020-04423-5",10.1007/s10803-020-04423-5,,CR18,18,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Howells et al. (2020),"Significant decreases in total problem behaviors (p = 0.048), social problems (p = 0.01), and internalizing problems compared to the control group (p = 0.01) as measured by the CBCL were reported post-intervention for the intervention group. DSM-oriented anxiety problems for the intervention group showed a significant decrease in scores post-intervention compared to the control group (p = 0.001). No significant results were reported by the Vineland-3. No significant differences reported in the control group","Howells et al. (2020) | Level IIN = 40Inclusion criteria: a pre-existing diagnosis of ASD under the DSM-5 guidelines and ages 5–12 | Intervention: 19 children who were already participating in the program at local Auskick clubs. The group physical activity sessions included practicing fundamental motor skills and football related skills60–90 min once a week, minimum of 5 sessionsControl group: 21 children not enrolled in the football program, or have been engaging in more than 30 min a week of organized physical activity for the duration of the study. The control group were permitted to engage in their typical, everyday routines | Parents completed the CBCL which included the DSM-Oriented Anxiety and Depressive Problems and the Vineland-3 | Significant decreases in total problem behaviors (p = 0.048), social problems (p = 0.01), and internalizing problems compared to the control group (p = 0.01) as measured by the CBCL were reported post-intervention for the intervention group. DSM-oriented anxiety problems for the intervention group showed a significant decrease in scores post-intervention compared to the control group (p = 0.001). No significant results were reported by the Vineland-3. No significant differences reported in the control group",,2020
"Keino, H., Funahashi, A., Keino, H., Miwa, C., Hosokawa, M., Hayashi, Y., & Kawakita, K. (2009). Psycho-educational horseback riding to facilitate communication ability of children with pervasive developmental disorders. Journal of Equine Science,20(4), 79–88. 10.1294/jes.20.79",10.1294/jes.20.79,,CR22,22,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Keino et al. (2009),"A statistical difference was measured baseline values and another time point for part 8 of the HEIM scalePart 8: fear or nervousness’ (degree of crying or being afraid) (p < 0.05) 1. Acts very anxious and cries very hard for a long time 2. Cries at first stops after a while 3. Face shows great anxiety 4. Face shows slight anxietyAs well as a statistical difference post intervention for the measures of human relationship, imitation, emotional expression, adaptation to change, visual response, and verbal communication subscales of the HEIM","Keino et al. (2009) | Level IIIn = 4No inclusion nor exclusion criteria listed | Intervention: 4 children participated in Pyscho-Educational Horseback Riding Program (PEHR)Provides, which carefully planned psychological and educational care for each child while they are riding horseback. These riding sessions progressed with time and eventually included the participants playing psycho-educational games, experiencing the horse both walk and trot, and ended with the participants doing their favorite activities. The children participated in PEHR anywhere from 1 to 3 years | Evaluation by the mother of the participant with the HEIM | A statistical difference was measured baseline values and another time point for part 8 of the HEIM scalePart 8: fear or nervousness’ (degree of crying or being afraid) (p < 0.05) 1. Acts very anxious and cries very hard for a long time 2. Cries at first stops after a while 3. Face shows great anxiety 4. Face shows slight anxietyAs well as a statistical difference post intervention for the measures of human relationship, imitation, emotional expression, adaptation to change, visual response, and verbal communication subscales of the HEIM",,2009
"Lee, D., Frey, G. C., Cothran, D. J., Harezlak, J., & Shih, P. C. (2022). Effects of a gamified, behavior change technique-based mobile app on increasing physical activity and reducing anxiety in adults with autism spectrum disorder: Feasibility randomized controlled trial. JMIR Formative Research,6(7), e35701. 10.2196/35701",10.2196/35701,,CR25,25,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Lee et al. (2022),"There was a significant difference for pre- and post-testing was in daily steps for both groups (p = 0.04). Both groups had a decrease in the BAI scored from pre-test to post-test, although these were not significant","Lee et al. (2022) | Level IIn = 20Inclusion criteria: 18 years of age or older, diagnosed with ASD, medical diagnosis of anxiety or self-identifying as experiencing anxiety in the past 3 months or more, no previous experience of using the physical activity mobile apps that are used in this study, and cognitive ability to understand the purpose of the studyExclusion criteria: low cognitive function, people with co-occurring intellectual disabilities, or mobility impairments | Intervention: participants were randomly assigned to the PuzzleWalk or Google Fit group. Both are applications designed to promote physical activity. The intervention lasted 8 weeks, however after collecting baseline data and distributing materials for the data collection, data collection occurred again during the 4th week to reduce the novelty effect in response to the accelerometer and the applications. Data were collected during the 4th and 8th weeks | Accelerometer data was collected with a waist accelerometer. A self-report survey was used to assess the use of the physical activity applications during the 4th week and at the start and at the end of the 8th week. The BAI—self-report was completed at baseline (week 1), during the 4th week, at the start of the 8th week, and at the end of the 8th week. Also, daily during 1st, 4th, and 8th weeks, time-specific and type of anxiety trigger questions were asked via an app developed by the research team to better identify the contexts of potential anxiety triggers such as environmental, psychological, or sensory factors | There was a significant difference for pre- and post-testing was in daily steps for both groups (p = 0.04). Both groups had a decrease in the BAI scored from pre-test to post-test, although these were not significant",,2022
"Peters, B. C., Wood, W., Hepburn, S., & Moody, E. J. (2021). Preliminary efficacy of occupational therapy in an equine environment for youth with autism spectrum disorder. Journal of Autism and Developmental Disorders. 10.1007/s10803-021-05278-0",10.1007/s10803-021-05278-0,,CR33,33,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Peters et al. (2021),"The intervention group reported significant improvements in goal performance as rated by the GAS (p < 0.001), and social motivation as rated by the SRS-2 (p = 0.033), and significantly reduced irritability as measured by the ABC-C (p = 0.04) after the intervention. There were no other reported significant changes for the intervention group. The control group also had significant improvements in goal performance as rated by the GAS (p = 0.002), and social motivation as rated by the SRS-2 (p < 0.001), and no other significant results were reported. Also, the HCC resulted in non-significant increases after the intervention","Peters et al. (2021) | Level I RCTn = 20Inclusion: age 6–13 years old, diagnosed with ASD by a community provider, score greater than a 15 on the Social Communication Questionnaire (SCQ), meet clinical cut-offs for ASD on the Autism Diagnostic Observation Schedule (ADOS), Autism Diagnostic Observation Schedule, second edition (ADOS-2), or the Social Responsiveness Scale, Second Edition (SRS-2), combined score more than 25 on the irritability and hyperactivity subscales of the ABC-C, score more than 55 on the Leiter International Performance Scale, Third Edition (Leiter-3), can participate in 10-min of riding while following safety rules, meets PATH Intl physical, mental, and emotional standardsExclusion criteria: weigh more than 200 pounds and participated in equine-assisted services for 2 h or more in the last 6 months | Intervention Group: 11 children with ASD. 10 weeks of Occupational Therapy in an Equine Environment: harnessing Occupation to Address Self-Regulation, Social Communication and Play and in Youth with Autism (OTee HORSPLAY)60-min sessions once a week that included greetings, activities with the horses, goodbye, and caregiver debrief. The activities were individualized for the participants’ movement goalsControl Group: 9 children with ASD, received 10 weeks of didactic training and modeling led by OT graduate students, and the OTee intervention after the first group completed it and data was collected | GAS, completed by an occupational therapist during a semi-structured interview with parents and participants, the irritability and hyperactivity subscales of the ABCC—parent reported, SRS-2—parent reported, PEDI-CAT ASD, parents completed a survey that included three open-ended questions about the best and worst aspects of the intervention or their child, and hair cortisol content (HCC) of the participants was collected at baseline and after the intervention was completed | The intervention group reported significant improvements in goal performance as rated by the GAS (p < 0.001), and social motivation as rated by the SRS-2 (p = 0.033), and significantly reduced irritability as measured by the ABC-C (p = 0.04) after the intervention. There were no other reported significant changes for the intervention group. The control group also had significant improvements in goal performance as rated by the GAS (p = 0.002), and social motivation as rated by the SRS-2 (p < 0.001), and no other significant results were reported. Also, the HCC resulted in non-significant increases after the intervention",,2021
"Tanksale, R., Sofronoff, K., Sheffield, J., & Gilmour, J. (2021). Evaluating the effects of a yoga-based program integrated with third-wave cognitive behavioral therapy components on self-regulation in children on the autism spectrum: A pilot randomized controlled trial. Autism,25(4), 995–1008. 10.1177/1362361320974841",10.1177/1362361320974841,,CR41,42,Evidence table for the physical activity intervention studies and their effects on anxiety for autistic children and adults,PMC12296984,Tanksale et al. (2021),"According to the post-intervention results for the CSQ there was a significant difference between groups for bedtime resistance (p = 0.023), sleep onset delay (p = 0.024), sleep disordered breathing (p = 0.05) and sleep anxiety (p = 0.015). According to the EAQ, there was significant between group differences post-intervention for verbal sharing of emotions (p = 0.005) and analysis of emotions or willingness to understand one’s emotions (p = 0.047). According to the ASC-ASD—self-reported by the children, there was a significant difference for performance anxiety at the follow-up data collection for the intervention group, compared to the control group (p = 0.028)","Tanksale et al. (2021) | Level I RCTn = 61 children with ASD and their parentsInclusion criteria: being between the ages 8 and 12 and a verified ASD diagnosisExclusion criteria: a non-verified diagnosis of ASD and no fluent speech or non-verbal | Intervention: a yoga-based program that occurred once a week for 1 h for 6 weeks. The program included breath-centered postures for the first part, for the second part the children learned mindfulness through games and activities, and the parents attended an education debriefing session that focused on barriers and how to facilitate home practiceControl group: waitlist controls—could receive intervention after if they so choose | The BRIEF—parent questionnaire, CSHQ—parent reported, the ASC-ASD—parent version, GAS—parent report, the EAQ—children reported, and the ASC-ASD—self-reported by the children | According to the post-intervention results for the CSQ there was a significant difference between groups for bedtime resistance (p = 0.023), sleep onset delay (p = 0.024), sleep disordered breathing (p = 0.05) and sleep anxiety (p = 0.015). According to the EAQ, there was significant between group differences post-intervention for verbal sharing of emotions (p = 0.005) and analysis of emotions or willingness to understand one’s emotions (p = 0.047). According to the ASC-ASD—self-reported by the children, there was a significant difference for performance anxiety at the follow-up data collection for the intervention group, compared to the control group (p = 0.028)",,2021
"25. Homayounnia Firouzjah M, Majidi Yaeichi N, Hematinia R. The effectiveness of sensory-motor integration exercises on social skills and motor performance in children with autism. J Autism Dev Disord. (2024).",,,B25,25,Detailed information on qualitative analysis.,PMC11491325,Morteza Homayounnia Firouzjah; Iran; PTPT,Social Skills (P< 0.01); Motor performance (P< 0.01),Morteza Homayounnia Firouzjah; Iran; PTPT | 9-11 | M:30 | Medical diagnosis | SMIE (NI) | Chronic | 48 weeks | 3 times a week | 45min | Social Skills (P< 0.01); Motor performance (P< 0.01),,2024
"26. Ji C, Yang J. Effects of physical exercise and virtual training on visual attention levels in children with autism spectrum disorders. Brain Sci. (2021) 12. doi: 10.3390/brainsci12010041",10.3390/brainsci12010041,,B26,26,Detailed information on qualitative analysis.,PMC11491325,Chaoxin Ji; China; RCT,CRRT; DRPT; PSIR: DRPS:P< 0.05; MT:P< 0.05; MNT:P< 0.05; PSIR:P< 0.05,Chaoxin Ji; China; RCT | VT:12.5 ± 2.36; PE:13.1 ± 2.97; CG:12.8 ± 2.69 | M:55F:45 | ICD-10 | PE/VT (PSY) | Chronic | 6 weeks | 3 times a week | 60mn | CRRT; DRPT; PSIR: DRPS:P< 0.05; MT:P< 0.05; MNT:P< 0.05; PSIR:P< 0.05,,2021
"27. Ji C, Yang J, Lin L, Chen S. Executive function improvement for children with autism spectrum disorder: A comparative study between virtual training and physical exercise methods. Children (Basel). (2022) 9. doi: 10.3390/children9040507",10.3390/children9040507,,B27,27,Detailed information on qualitative analysis.,PMC11491325,Chaoxin Ji; China; RCT,Executive Function (P< 0.001); Flexibility (P< 0.001); Inhibition (P< 0.001),Chaoxin Ji; China; RCT | VT:12.5 ± 2.36; PE:13.1 ± 2.97; CG:12.8 ± 2.69 | M:55F:45 | ICD-10 | PE/VT (PSY) | Chronic (LMAE) | 6 weeks | 3 times a week | 60mn | Executive Function (P< 0.001); Flexibility (P< 0.001); Inhibition (P< 0.001),,2022
"28. Rafiei Milajerdi H, Sheikh M, Najafabadi MG, Saghaei B, Naghdi N, Dewey D. The effects of physical activity and exergaming on motor skills and executive functions in children with autism spectrum disorder. Games Health J. (2021) 10:33–42. doi: 10.1089/g4h.2019.0180",10.1089/g4h.2019.0180,,B28,28,Detailed information on qualitative analysis.,PMC11491325,Homa Rafiei Milajerdi; Iran; RCT,"Motor skills (ACD, P< 0.05); Executive Function (CF, P< 0.01)","Homa Rafiei Milajerdi; Iran; RCT | SPARK: 7.95 ± 1.60; Kinect:8.15 ± 1.5; CG:8.45 ± 1.43 | M:57; F:3 | ADOS-2 | SPARK/Kinect (NI) | Chronic (LMAE) | 8 weeks | 3 times a week | 35min | Motor skills (ACD, P< 0.05); Executive Function (CF, P< 0.01)",,2021
"29. Moradi H, Sohrabi M, Taheri H, Khodashenas E, Movahedi A. Comparison of the effects of perceptual-motor exercises, vitamin D supplementation and the combination of these interventions on decreasing stereotypical behavior in children with autism disorder. Int J Dev Disabil. (2018) 66:122–32. doi: 10.1080/20473869.2018.1502068",10.1080/20473869.2018.1502068,,B29,29,Detailed information on qualitative analysis.,PMC11491325,Hadi Moradi; Iran; PTPT,Stereotypical behavior (P=0.01),Hadi Moradi; Iran; PTPT | 7.62 ± 1.15 | M:50 | DSM-5 | PME (PD) | Chronic | 3 mnths | 3 times a week | 60min | Stereotypical behavior (P=0.01),,2018
"52. Zhao M, Chen S. The effects of structured physical activity program on social interaction and communication for children with autism. BioMed Res Int. (2018) 2018:1825046. doi: 10.1155/2018/1825046",10.1155/2018/1825046,,B52,52,Detailed information on qualitative analysis.,PMC11491325,Mengxian Zhao; China; RCT,Social skills (P< 0.005),Mengxian Zhao; China; RCT | EG:6.14 ± 0.96; CG:6.1 ± 0.98 | M:29; F:12 | DSM-5 | SPAP (RPA) | Chronic | 12 weeks | 2 times a week | 60min | Social skills (P< 0.005),,2018
"53. Aithal S, Karkou V, Makris S, Karaminis T, Powell J. A dance movement psychotherapy intervention for the wellbeing of children with an autism spectrum disorder: A pilot intervention study. Front Psychol. (2021) 12:588418. doi: 10.3389/fpsyg.2021.588418",10.3389/fpsyg.2021.588418,,B53,53,Detailed information on qualitative analysis.,PMC11491325,Supritha Aithal; United Kingdom; RCT,"Social and Emotional Wellbeing (SCQ, P=0.001)","Supritha Aithal; United Kingdom; RCT | 8-13 | M:21; F:5 | DSM-5 | DMP (SC) | Chronic | 5 weeks | 2 times a week | 40min | Social and Emotional Wellbeing (SCQ, P=0.001)",,2021
"54. Chan AS, Sze SL, Siu NY, Lau EM, Cheung MC. A chinese mind-body exercise improves self-control of children with autism: a randomized controlled trial. PloS One. (2013) 8:e68184. doi: 10.1371/journal.pone.0068184",10.1371/journal.pone.0068184,,B54,54,Detailed information on qualitative analysis.,PMC11491325,Agnes S. Chan; China; RCT,Self-Control (Rule Violation: P< 0.05; Completion Time: P< 0.05; Unique Designs: P< 0.05; Communication; P< 0.05); Brain Activity,Agnes S. Chan; China; RCT | EG:11.28 ± 3.9; CG:12.42 ± 3.25 | M:36; F:4 | DSM-4 | NYG (PMR) | Chronic | 4 weeks | 2 times a week | 60min | Self-Control (Rule Violation: P< 0.05; Completion Time: P< 0.05; Unique Designs: P< 0.05; Communication; P< 0.05); Brain Activity,,2013
"30. Ju X, Liu H, Xu J, Hu B, Jin Y, Lu C. Effect of yoga intervention on problem behavior and motor coordination in children with autism. Behav Sci (Basel). (2024) 14. doi: 10.3390/bs14020116",10.3390/bs14020116,,B30,30,Detailed information on qualitative analysis.,PMC11491325,Xingda Ju; China; RCT,"Problem Behavior: (Irritability, Social Withdrawal, P< 0.05); Motor Coordination (Ball Skills (P< 0.001); Static and Dynamic Balance, P=0.028)","Xingda Ju; China; RCT | EG:11.11 ± 2.52; CG:12.75 ± 2.31 | M:12; F:5 | Medical diagnosis | Yoga (NI) | Chronic | 8 weeks | 3 times a week | 45-50min | Problem Behavior: (Irritability, Social Withdrawal, P< 0.05); Motor Coordination (Ball Skills (P< 0.001); Static and Dynamic Balance, P=0.028)",,2024
"31. Kaur M, Bhat A. Creative yoga intervention improves motor and imitation skills of children with autism spectrum disorder. Phys Ther. (2019) 99:1520–34. doi: 10.1093/ptj/pzz115",10.1093/ptj/pzz115,,B31,31,Detailed information on qualitative analysis.,PMC11491325,Maninderjit Kaur; USA; PTPT,"Motor Proficiency (gross motor,P< 0.006); Training-specific Imitation (P< 0.02)","Maninderjit Kaur; USA; PTPT | 5-13 | M:22; F:2 | ADOS-2 | Yoga (Academic) | Chronic | 8 weeks | 4 times a week | 20-45min | Motor Proficiency (gross motor,P< 0.006); Training-specific Imitation (P< 0.02)",,2019
"32. Sarabzadeh M, Azari BB, Helalizadeh M. The effect of six weeks of Tai Chi Chuan training on the motor skills of children with Autism Spectrum Disorder. J Bodyw Mov Ther. (2019) 23:284–90. doi: 10.1016/j.jbmt.2019.01.007",10.1016/j.jbmt.2019.01.007,,B32,32,Detailed information on qualitative analysis.,PMC11491325,Mostafa Sarabzadeh; Iran; RCT,"Motor skills (Ball skills, P< 0.05; Balance performance, P< 0.05)","Mostafa Sarabzadeh; Iran; RCT | EG:8.88 ± 1.76; CG:8.22 ± 1.92 | M:14; F:4 | GARS2 | Tai Chi Chuan (NI) | Chronic | 6 weeks | 3 times a week | 60min | Motor skills (Ball skills, P< 0.05; Balance performance, P< 0.05)",,2019
